topic_id,label,explanation,top_words,n_successful_passes,n_requested_passes,majority_count,candidate_labels
0,Heterogeneous accelerator workload scheduling and pooling,"Focuses on scheduling and pooling of heterogeneous accelerators (GPUs/APUs) to optimize utilization and performance across distributed clusters or VD pools. Representative patents describe dynamic job assignment, VD pool configuration/migration, and co‑scheduling of ML training jobs based on utilization metrics and platform performance.","performance, job, platform, devices, heterogeneous, ai, cluster, distributed, metrics, metric, utilization, pool, analysis, scheduler, service",3,3,1,Heterogeneous accelerator workload scheduling and pooling | Heterogeneous AI compute resource scheduler | Heterogeneous Accelerator Job Scheduler
1,Cross-PPU Page Ownership Management,"The documents describe determining and updating ownership states for memory pages and modifying page-table entries across parallel processing units (PPUs), including migrating pages and coalescing entries based on a page state directory (PSD). Top words like ""page"", ""page_table"", ""entry"", ""state"", ""memory_page"", and ""cache"" reflect page ownership/state tracking, page-table synchronization, and entry management. The technical focus is on cross‑processor memory ownership and page-table consistency rather than generic caching or packet handling.","state, table, cache, list, page, hash, entry, packet, descriptor, memory_page, check, operational, page_table, pages, entries",3,3,1,Cross-PPU Page Ownership Management | Page Table Ownership and Migration | PPU Page Migration and Ownership
2,IR-based GPU shader/kernel compilation,"Top words center on shader, kernel, intermediate, compiler, compiled, and binary—pointing to translation from source/IR to target executables. Documents describe merged shader generation to reduce control-flow divergence, pre-compiled intermediate libraries compiled into binaries for different processors, and tooling to generate GPU source and executables from CPU code, fitting an IR-driven compilation and cross-target binary generation theme.","shader, kernel, source, representation, language, compiled, kernels, intermediate, compiler, runtime, binary, loop, compiling, file, programming",3,3,1,IR-based GPU shader/kernel compilation | Intermediate representation for shader kernels | Multi-target shader and kernel compilation
3,SIMD Vectorized Stencil and Indexing,"Top words (vector, simd, register, consecutive, indices, iteration) point to vector/SIMD processing of ordered data and indices. Doc 1 describes loading stencil coefficients and consecutive data into vector registers for 1D stencil arithmetic, while Docs 2–3 describe data-parallel evaluation of indexed N-to-1 spatial correspondences on coprocessors, matching the vectorized indexing/stencil design focus.","vector, simd, index, register, registers, scalar, indices, iteration, point, order, sorted, single_data, consecutive, arithmetic, line",3,3,1,SIMD Vectorized Stencil and Indexing | SIMD Vectorized Indexed Stencil Operations | Register-Aware SIMD Stencil and Indexing
4,Tile-based pixel region compression and shading,"The documents and top words center on encoding and compressing per-tile pixel regions with pixel-region flags and bit-budget decisions (Document 1), along with hierarchical coarse/fine shading interpolation across pixels (Document 2) and scanline-aligned region subdivision for rasterization (Document 3). Top words like pixel, region, bit, shading, edge, and pixels indicate techniques for reducing pixel data and shading work via region-based compression and efficient rasterization.","pixel, pixels, region, depth, shading, individual, regions, bit, color, test, coverage, distinct, shape, graphics_data, edge",3,3,1,Tile-based pixel region compression and shading | Region-based pixel shading and compression | Tile-based pixel region compression
5,Frame buffer management and display synchronization,"Centres on frame_buffer and buffer management for rendering, compositing, and display timing to maintain smooth frame_rate and mitigate display delays. Representative documents describe reuse and resolution-scaling of frame buffers, time-shifting compositing/refresh to avoid buffer-swap stalls, and storing/combining color+alpha buffers for transparency blending.","frame, buffer, display, frame_buffer, graphics_data, frames, graphics_graphics, portions, image_frame, buffers, screen, rate, displaying, frame_rate, graphic",3,3,2,Frame-buffer management and display synchronization | Frame buffer management and display synchronization | Frame buffer management and display synchronization
6,Tile-based foveated rendering pipeline,"Top words (tile, pipeline, bin, render, upsampling) emphasize tile-oriented graphics processing. The documents describe foveation/variable-resolution rendering—binning vertices per tile, rendering tiles at reduced sizes (eye-buffer/foveation), upsampling, and generating GPU shader programs to apply effects.","render, tile, graphical, pass, tiles, rendered, pipeline, content, effect, scene, bin, user, user_interface, resolution, graphics_rendering",3,3,1,Tile-based foveated rendering pipeline | Tile-based foveated upsampling | Foveated tile-based rendering and upsampling
7,Multi-tenant GPU request scheduling,"Top words (request, host, server, client, manager, control, environment) emphasize request/host/service orchestration. The documents describe a multi-user manager allocating GPU/pixel processing per user, predicting per-request resource usage and associating requests with available GPU resources, and workers pulling execution requests from a controller to schedule concurrent GPU tasks. These combine into a theme of scheduling and resource allocation for multi-tenant GPU workloads.","request, host, server, user, client, remote, environment, service, requests, new, received, sending, manager, requested, control",3,3,1,Multi-tenant GPU request scheduling | Multi-tenant GPU Request Allocation | GPU resource allocation and scheduling
8,Priority-based GPU power and frequency capping,"Documents describe monitoring power/thermal thresholds and adjusting GPU utilization, operating frequency, and voltage based on workload priority and toggle rate. Top words (threshold, power, priority, frequency, utilization) reflect scheduling policies that cap lower-priority workloads to maintain maximum power/thermal limits. The label highlights the technical focus on priority-aware power and frequency control for GPUs.","threshold, power, priority, rate, frequency, scheduling, greater, usage, maximum, load, consumption, policy, control, utilization, equal",3,3,2,Priority-aware GPU power capping | Priority-based GPU power and frequency capping | Priority-based GPU power and frequency capping
9,Per-channel floating-point to fixed-point quantization,"Top words (layer, tensor, quantization, floating_point, precision, weights) indicate a focus on numeric precision at the layer/tensor level. The documents describe converting floating-point scale/batchnorm layers to fixed-point using per-channel quantization parameters, mapping those fixed-point layers to GEMM engines, and implementing mixed-precision multiply‑add hardware.","layer, neural, neural_network, tensor, weight, layers, weights, point, quantization, activation, tensors, floating, floating_point, precision, filter",3,3,1,Per-channel floating-point to fixed-point quantization | Channel-wise quantization for neural layers | Per-channel quantization to fixed-point
10,Hardware-aware node ordering and mapping,"Top words emphasize nodes, tree structure, traversal, parent/child links, and edges. The documents describe generating execution orders by mapping nodes to heterogeneous hardware (CPU/GPU/accelerator), training subtrees on GPUs, and mapping logical nodes onto many-core NoC resources, indicating a focus on scheduling, traversal, and placement of graph/tree nodes across hardware.","node, nodes, tree, child, edge, node_node, leaf, link, traversal, root, nodes_nodes, node_nodes, parent, nodes_node, building",3,3,1,Hardware-aware node ordering and mapping | Resource-aware node ordering and mapping | Node scheduling and mapping on accelerators
11,Thread-group prefix sums and shared-memory coordination,"Top words (thread, shared_memory, prefix, local/global_memory, queue) and documents detail parallel prefix-sum and radix-sort operations across cooperative thread arrays and methods for assigning and ordering threads to shared memory instances. The theme centers on inter-thread synchronization and shared/local memory coordination to support collective parallel primitives and avoid resource contention.","thread, threads, work, shared, local, shared_memory, queue, global, local_memory, sum, thread_thread, prefix, global_memory, number_threads, message",3,3,1,Thread-group prefix sums and shared-memory coordination | Cooperative thread shared-memory coordination | Cooperative thread prefix-sum with shared memory
12,Cloud virtual GPU provisioning and management,"Focuses on attaching, selecting, and migrating virtual GPUs (vgpu) implemented on physical GPUs for virtual machines in multi-tenant clouds, including elastic GPU classes. Representative documents describe intermediate drivers translating graphics calls and services that attach or change vGPU classes; top words (virtual, physical, vm, vgpu, hypervisor) reflect GPU virtualization and orchestration.","virtual, physical, vm, virtual_gpu, compute, machines, physical_gpu, virtual_machines, vgpu, additional, gpus, guest, virtual_graphics, gpu_virtual, hypervisor",3,3,1,Cloud virtual GPU provisioning and management | Elastic virtual GPU provisioning | Elastic vGPU provisioning and migration
13,Programmable systolic-array accelerator hardware,"Top words (accelerator, programmable, array, fpga, circuit, NoC) indicate hardware accelerators implemented as programmable arrays. Representative documents describe routing PCIe TLPs into a systolic array, NoC-coupled data-processing engine arrays, and traffic generators spanning programmable logic and arrays, showing a focus on integrated digital accelerator array design and interconnects.","accelerator, circuit, programmable, acceleration, accelerators, logic, hardware_accelerator, design, digital, array, circuitry, integrated, fpga, specific, gate",3,3,1,Programmable systolic-array accelerator hardware | Programmable systolic-array hardware accelerators | Integrated Programmable Accelerator Arrays
14,Graph embedding and mapping optimization,"Top words (graph, operators, edges, cost, optimization) and documents focus on embedding problem graphs onto constrained hardware graphs and transforming operators for execution. The patents describe partitioning/embedding subgraphs, assigning costs and tradeoffs for scheduling, and mapping fermionic operators to qubit interactions under connectivity constraints. Overall the theme is optimizing graph-to-hardware mappings and operator scheduling given architectural constraints.","graph, computational, candidate, cost, operator, quantum, architecture, optimization, optimized, constraint, chunk, operators, flow, optimal, edges",3,3,2,Graph embedding and mapping optimization | Graph-based hardware mapping optimization | Graph embedding and mapping optimization
15,GPU-optimized sparse matrix encoding,"Top words (matrix, array, row, multiplication, sparse, zero) and the documents describe identifying non-zero elements, generating a distribution matrix, and encoding sparse matrices into arrays. The focus is on data layouts and encodings that map sparse rows/columns to GPU parallel processing units to accelerate matrix operations (e.g., multiply-add, tridiagonal solves).","matrix, array, row, multiplication, rows, sparse, vector, column, zero, matrices, vectors, matrix_multiplication, kernel, columns, attention",3,3,1,GPU-optimized sparse matrix encoding | GPU sparse matrix data-layout and multiplication | GPU-optimized sparse matrix data layout
16,GPU Task Scheduling and Distribution,"Top words (task, gpu_task, task_gpu, data_object) and documents describe creating and ordering GPU task queues, obtaining real-time resource information, and selecting devices for task execution. Representative claims include a master device for resource-aware task allocation, GPU queue/memory-access timing analysis, and preemption/swap-in policies, indicating a technical focus on scheduling and distribution across GPUs and multiple processing devices.","task, object, objects, tasks, data_object, task_task, gpu_task, electronic, status, duration, data_objects, unified, selecting, task_gpu, development",3,3,1,GPU Task Scheduling and Distribution | Heterogeneous GPU task scheduling and allocation | GPU and Parallel Task Scheduling
17,Graphics driver command stream scheduling,"Topic centers on graphics drivers managing GPU command streams and command buffers—scheduling and resolving dependencies, atomically submitting streams, and using notifications based on hardware resource availability. The representative patents describe driver-driven atomic submission of command streams, monitoring internal buffers/interrupts, and coordinating parallel GPU engines via queues and wait operations.","command, commands, driver, stream, graphics_commands, buffer, graphics_driver, graphics_command, command_buffer, draw, command_stream, gpu_driver, buffers, commands_command, mode",3,3,1,Graphics driver command stream scheduling | GPU command stream scheduling and synchronization | Resource-Aware GPU Command Scheduling
