topic_id,label,explanation,top_words,n_successful_passes,n_requested_passes,majority_count,candidate_labels
0,Clock-synchronized multi-die programmable logic,"Documents describe integrated circuits with programmable logic fabric partitioned across dies using chip-to-chip interconnects and interface bridges that exchange data synchronized to a transmitted clock (e.g., input buffering and clock synchronization units). Top words like circuit, programmable, die, clock, integrated, and noc reflect an SoC-level focus on clocked inter-die communication and programmable-logic configuration/acceleration.","circuit, logic, chip, clock, integrated, integrated_circuit, programmable, noc, master, circuits, die, soc, ic, semiconductor, functional",3,3,1,Clock-synchronized multi-die programmable logic | Clocked interfaces for multi-die programmable ICs | Programmable logic die interconnect and clocking
1,Content-aware seam carving,"Top words (pixel, energy, seam, region, luminance, resolution) and the example documents describe computing per-pixel energy maps, identifying lowest-cost seams (including via lower-resolution acceleration structures), and removing or inserting seams. The methods perform seam-based, region-specific image resizing to preserve important pixels and image content.","pixel, color, region, pixels, image_data, regions, resolution, image_image, input_image, luminance, intensity, edge, space, images, background",3,3,1,Content-aware seam carving | Seam-based content-aware image resizing | Content-aware seam carving image resizing
2,Thread-based work queue scheduling and transfer,"Top words (thread, queue, event, transaction, priority) and documents describe moving work via pending queues between threads and scheduler verticals for parallel execution. The claims focus on dispatching/transfer of jobs, lock-aware work handoff, and conflict resolution through priority/time-based transaction commits.","file, execution, hardware, software, thread, event, parallel, queue, transaction, job, threads, priority, container, files, request",3,3,1,Thread-based work queue scheduling and transfer | Concurrent thread-based work queuing and scheduling | Concurrent thread scheduling and handoff queues
3,Dual-radio Wireless Connection Management,"The documents describe terminal devices with two wireless communication methods where the device pre-establishes links, transmits identification (e.g., MAC/address), and switches or routes traffic between first and second networks. Top words like wireless, terminal, identification, connection, and mac_address reflect a focus on multi-radio connection control, network selection, and handover management rather than surface features like printing or firmware.","wireless, terminal, mobile, identification, connection, firmware, external, print, setting, printing, devices, mac_address, forming, ihs, wireless_communication",3,3,1,Dual-radio Wireless Connection Management | Multi-radio connection management | Dual-radio device discovery and handover
4,Adaptive truncation threshold selection for quantization,"Top words (quantization, threshold, range, error, distribution) indicate focus on choosing quantization bounds. The documents describe generating multiple symmetric/asymmetric truncation threshold pairs from data max/min and selecting the pair that minimizes mean absolute difference or quantization error for ML model quantization.","quantization, threshold, range, calculating, quantized, maximum, error, distribution, difference, equal, size, greater, minimum, preset, rate",3,3,2,Adaptive truncation threshold selection for quantization | Adaptive truncation threshold selection | Adaptive truncation threshold selection for quantization
5,Packed SIMD bit-field extraction/insertion,"Top words (bit, bits, register(s), operand, SIMD, data_block) point to bit/byte-level packed data handling in registers. The documents describe SIMD instructions that extract N-bit contiguous fields from multiple source operands, apply offsets/alignments, concatenate or align bytes across registers, and write results to destination registers. The theme is packed-data alignment and bit-field extraction/insertion within SIMD pipelines.","bit, block, bits, register, blocks, error, watermark, pipeline, registers, operand, data_block, simd, length, source, correction",3,3,1,Packed SIMD bit-field extraction/insertion | Packed SIMD Bitfield Extraction and Alignment | SIMD packed data alignment and extraction
6,Gaze-driven display and sensor management,"Top words (display, camera, GPU, sensor, eye, visual) and the documents describe eye-tracking in head-wearables and multi-display systems that pause or activate GPUs, cameras, and trackers. The technical focus is using gaze/camera input to control power, sensor activation, and UI/display focus across screens.","display, sensor, vehicle, camera, graphical, screen, light, user_interface, displaying, displayed, touch, captured, gpu, position, visual",3,3,2,Gaze-driven display and sensor management | Gaze-driven display and sensor management | Gaze-aware display and sensor management
7,PCIe fabric and peripheral interconnect architecture,"Describes PCIe fabric designs that couple multiple PCIe subfabrics using managing CPUs, primary/secondary master controllers, and fan-out switches to determine and share topology. Representative claims focus on interconnect pathways and switch/cross‑connect topologies providing one‑hop and two‑hop latencies between data processors and peripheral card slots, matching top words like port, switch, card, connector, and board.","circuitry, devices, port, peripheral, switch, cell, card, connected, cells, pcie, quantum, connector, slot, board, drive",3,3,1,PCIe fabric and peripheral interconnect architecture | Hierarchical PCIe Fabric for Peripheral Slots | PCIe switch fabric for peripheral slots
8,Teacher-Student Pruning and Quantization,"Representative documents describe generating student models from teacher models via layer/weight removal, iterative pruning, and quantization-aware training to produce compressed, quantized networks. Top words (model, neural_network, layer, weights, quantized, training) indicate a focus on neural model compression techniques—pruning, quantization, and knowledge distillation.","model, neural, neural_network, layer, training, learning, trained, layers, weight, learning_model, weights, loss, quantized, models, latent",3,3,1,Teacher-Student Pruning and Quantization | Neural network model compression and distillation | Neural network pruning and quantization
9,Array Indexing and Layout Optimization,"Top words like index, array, mapping, tile, clusters and records point to data-layout and index mapping concerns. Representative documents describe producing sorted structures of arrays for GPU access, generating optimized indexing expressions for parallel processing, and merging/mapping record lists—all techniques for optimizing memory layout and indexing for performance.","electronic, index, cluster, array, list, new, record, character, clusters, records, tile, string, tiles, mapping, order",3,3,1,Array Indexing and Layout Optimization | Indexing and Array Layout Optimization | Index Mapping for Tiled Array Layouts
